,spikes,cellID
1,0.165800000000001,6
2,0.593566666666668,6
3,1.39086666666667,6
4,1.55396666666667,6
5,1.72373333333333,6
6,1.79293333333333,6
7,1.9273,6
8,2.55566666666667,6
9,2.69486666666667,6
10,3.02413333333333,6
11,3.49113333333333,6
12,3.5508,6
13,3.63136666666667,6
14,3.86603333333333,6
15,3.95033333333333,6
16,4.1497,6
17,4.23556666666667,6
18,4.29276666666667,6
19,4.31826666666667,6
20,4.70906666666666,6
21,5.14853333333333,6
25,5.3733,6
26,5.5996,6
27,5.61623333333333,6
28,5.7001,6
29,5.7751,6
30,5.81143333333333,6
31,5.84436666666667,6
32,5.92103333333333,6
33,6.05046666666667,6
34,6.201,6
35,6.26143333333333,6
36,6.50516666666667,6
37,6.7731,6
38,6.8627,6
39,6.8799,6
40,6.90183333333333,6
41,7.41816666666667,6
42,7.4546,6
43,7.4878,6
47,7.70203333333333,6
48,7.7867,6
49,7.86013333333333,6
50,8.32833333333333,6
51,8.9285,6
52,9.22756666666667,6
53,9.25226666666667,6
54,9.6717,6
55,9.82326666666667,6
56,9.8822,6